variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
gendmhi,gendmhi_1,cat,limesurvey,limesurvey::mh,cat,0,2,Poor or fair,Poor or fair,N/A,1,Poor or fair,Self-rated mental health,Self-rated mental health,
gendmhi,gendmhi_2,cat,limesurvey,limesurvey::mh,cat,1,2,"Good, very good, or excellent","Good, very good, or excellent",N/A,2,"Good, very good, or excellent",Self-rated mental health,Self-rated mental health,
gendmhi,gendmhi_NA::b,cat,limesurvey,limesurvey::mh,cat,NA::b,2,missing,missing,N/A,else,N/A,Self-rated mental health,Self-rated mental health,
gen_025,gen_025_1,cat,limesurvey,limesurvey::str,cat,1,2,Not at all to a bit stressed,Not at all to a bit stressed,N/A,1,Not at all to a bit stressed,Stress,"Self-perceived stress	",
gen_025,gen_025_2,cat,limesurvey,limesurvey::str,cat,2,2,Quite a bit or extremely stressed,Quite a bit or extremely stressed,N/A,2,Quite a bit or extremely stressed,Stress,"Self-perceived stress	",
gen_025,gen_025_NA::b,cat,limesurvey,limesurvey::str,cat,NA::b,2,missing,missing,N/A,else,N/A,Stress,"Self-perceived stress	",
gen_045,gen_045_1,cat,limesurvey,limesurvey::bel,cat,1,2,Strong,Strong,N/A,1,Strong,Sense of belonging,Sense of belonging to local community,
gen_045,gen_045_2,cat,limesurvey,limesurvey::bel,cat,2,2,Weak,Weak,N/A,2,Weak,Sense of belonging,Sense of belonging to local community,
gen_045,gen_045_NA::b,cat,limesurvey,limesurvey::bel,cat,NA::b,2,missing,missing,N/A,else,N/A,Sense of belonging,Sense of belonging to local community,
fmh_15,fmh_15_1,cat,limesurvey,limesurvey::fmh,cat,1,2,Yes,Yes,N/A,1,Yes,Hypertension family history,Hypertension family history,
fmh_15,fmh_15_2,cat,limesurvey,limesurvey::fmh,cat,2,2,No,No,N/A,2,No,Hypertension family history,Hypertension family history,
fmh_15,fmh_15_NA::b,cat,limesurvey,limesurvey::fmh,cat,NA::b,2,missing,missing,N/A,else,N/A,Hypertension family history,Hypertension family history,
hwmdbmi,N/A,cont,limesurvey,"DerivedVar::[limesurvey::cm, limesurvey::kgs]",cont,copy,N/A,N/A,N/A,kg/m2,N/A,N/A,Body mass index,Body mass index,
hwmdbmi,N/A,cont,limesurvey,"DerivedVar::[limesurvey::cm, limesurvey::kgs]",cont,NA::b,N/A,N/A,N/A,kg/m2,N/A,N/A,Body mass index,Body mass index,
low_drink_score1,low_drink_score1_1,cat,limesurvey,limesurvey::alc,N/A,1,4,Never drank,Never drank,N/A,1,N/A,Alcohol consumption level,Low risk drinking score - former/never drinking categories,
low_drink_score1,low_drink_score1_2,cat,limesurvey,limesurvey::alc,N/A,2,4,Low-risk drinker,Low-risk (former or light) drinker,N/A,2,N/A,Alcohol consumption level,Low risk drinking score - former/never drinking categories,
low_drink_score1,low_drink_score1_3,cat,limesurvey,limesurvey::alc,N/A,3,4,Moderate drinker,Moderate drinker,N/A,3,N/A,Alcohol consumption level,Low risk drinking score - former/never drinking categories,
low_drink_score1,low_drink_score1_4,cat,limesurvey,limesurvey::alc,N/A,4,4,Heavy drinker,Heavy drinker,N/A,4,N/A,Alcohol consumption level,Low risk drinking score - former/never drinking categories,
low_drink_score1,low_drink_score1_NA::b,cat,limesurvey,limesurvey::alc,N/A,NA::b,4,missing,missing,N/A,else,N/A,Alcohol consumption level,Low risk drinking score - former/never drinking categories,
minperweek,N/A,cont,limesurvey,limesurvey::phys,N/A,copy,N/A,N/A,N/A,minutes/week,"[0, 792]",N/A,Minutes of exercise per week,Total moderate-to-vigorous physical activity - Days 1-7 (min/week),
minperweek,N/A,cont,limesurvey,limesurvey::phys,N/A,NA::b,N/A,N/A,N/A,minutes/week,else,N/A,Minutes of exercise per week,Total moderate-to-vigorous physical activity - Days 1-7 (min/week),
smoke,smoke_1,cat,limesurvey,limesurvey::smk,cat,1,3,Current smoker,Current smoker,N/A,1,Current smoker,Smoking status,Smoking status,
smoke,smoke_2,cat,limesurvey,limesurvey::smk,cat,2,3,Former smoker,Former smoker,N/A,2,Former smoker,Smoking status,Smoking status,
smoke,smoke_3,cat,limesurvey,limesurvey::smk,cat,3,3,Never smoker,Never smoker,N/A,3,Never smoker,Smoking status,Smoking status,
smoke,smoke_NA::b,cat,limesurvey,limesurvey::smk,cat,NA::b,3,missing,missing,N/A,else,N/A,Smoking status,Smoking status,
slp_11,N/A,cont,limesurvey,limesurvey::slp,cont,copy,N/A,N/A,N/A,hours/day,"[2.0, 18.0]",N/A,Hours of sleep per day,Hours spent sleeping in 24 hour period,
slp_11,N/A,cont,limesurvey,limesurvey::slp,cont,NA::b,N/A,N/A,N/A,hours/day,else,N/A,Hours of sleep per day,Hours spent sleeping in 24 hour period,
totalfv,N/A,cont,limesurvey,limesurvey::fv,N/A,copy,N/A,N/A,N/A,times/day,"[0, 10]",N/A,Daily fruit and vegetable consumption,Daily fruit and vegetable consumption,
totalfv,N/A,cont,limesurvey,limesurvey::fv,N/A,NA::b,N/A,N/A,N/A,times/day,else,N/A,Daily fruit and vegetable consumption,Daily fruit and vegetable consumption,
diabx,diabx_1,cat,limesurvey,limesurvey::diab,cat,1,2,Yes,Yes,N/A,1,Yes,Diabetes,Diabetes,
diabx,diabx_2,cat,limesurvey,limesurvey::diab,cat,2,2,No,No,N/A,2,No,Diabetes,Diabetes,
diabx,diabx_NA::b,cat,limesurvey,limesurvey::diab,cat,NA::b,2,missing,missing,N/A,else,N/A,Diabetes,Diabetes,
ckd,ckd_1,cat,limesurvey,limesurvey::ckd,N/A,1,2,Yes,Yes,N/A,1,Yes,Chronic kidney disease,Chronic kidney disease (categorized by GFR),
ckd,ckd_2,cat,limesurvey,limesurvey::ckd,N/A,2,2,No,No,N/A,2,No,Chronic kidney disease,Chronic kidney disease (categorized by GFR),
ckd,ckd_NA::b,cat,limesurvey,limesurvey::ckd,N/A,NA::b,2,missing,missing,N/A,else,N/A,Chronic kidney disease,Chronic kidney disease (categorized by GFR),
