variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description
anymed,,Antihypertension medication,Taking ANY antihypertension drugs,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]",
atc_101a,Drugs,First prescription medication - ATC,First prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_101a],
atc_102a,Drugs,Second prescription medication - ATC,Second prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_102a],
atc_103a,Drugs,Third prescription medication - ATC,Third prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_103a],
atc_104a,Drugs,Fourth prescription medication - ATC,Fourth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_104a],
atc_105a,Drugs,Fifth prescription medication - ATC,Fifth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_105a],
atc_106a,Drugs,Sixth prescription medication - ATC,Sixth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_106a],
atc_107a,Drugs,Seventh prescription medication - ATC,Seventh prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_107a],
atc_108a,Drugs,Eighth prescription medication - ATC,Eighth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_108a],
atc_109a,Drugs,Ninth prescription medication - ATC,Ninth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_109a],
atc_110a,Drugs,Tenth prescription medication - ATC,Tenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_110a],
atc_111a,Drugs,Eleventh prescription medication - ATC,Eleventh prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_111a],
atc_112a,Drugs,Twelfth prescription medication - ATC,Twelfth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_112a],
atc_113a,Drugs,Thirteenth prescription medication - ATC,Thirteenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_113a],
atc_114a,Drugs,Fourteenth prescription medication - ATC,Fourteenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_114a],
atc_115a,Drugs,Fifteenth prescription medication - ATC,Fifteenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_115a],
atc_131a,Drugs,First new prescription medication - ATC,First new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_131a],
atc_132a,Drugs,Second new prescription medication - ATC,Second new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_132a],
atc_133a,Drugs,Third new prescription medication - ATC,Third new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_133a],
atc_134a,Drugs,Fourth new prescription medication - ATC,Fourth new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_134a],
atc_135a,Drugs,Fifteenth new prescription medication - ATC,Fifteenth new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_135a],
atc_201a,Drugs,First over-the-counter medication - ATC ,First over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_201a],
atc_202a,Drugs,Second over-the-counter medication - ATC ,Second over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_202a],
atc_203a,Drugs,Third over-the-counter medication - ATC ,Third over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_203a],
atc_204a,Drugs,Fourth over-the-counter medication - ATC,Fourth over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_204a],
atc_205a,Drugs,Fifth over-the-counter medication - ATC ,Fifth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_205a],
atc_206a,Drugs,Sixth over-the-counter medication - ATC ,Sixth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_206a],
atc_207a,Drugs,Seventh over-the-counter medication - ATC ,Seventh over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_207a],
atc_208a,Drugs,Eighth over-the-counter medication - ATC ,Eighth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_208a],
atc_209a,Drugs,Ninth over-the-counter medication - ATC ,Ninth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_209a],
atc_210a,Drugs,Tenth over-the-counter medication - ATC ,Tenth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_210a],
atc_211a,Drugs,Eleventh over-the-counter medication - ATC ,Eleventh over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_211a],
atc_212a,Drugs,Twelfth over-the-counter medication - ATC ,Twelfth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_212a],
atc_213a,Drugs,Thirteenth over-the-counter medication - ATC,Thirteenth over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_213a],
atc_214a,Drugs,Fourteenth over-the-counter medication - ATC ,Fourteenth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_214a],
atc_215a,Drugs,Fifteenth over-the-counter medication - ATC ,Fifteenth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_215a],
atc_231a,Drugs,First new over-the-counter medication - ATC,First new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_231a],
atc_232a,Drugs,Second new over-the-counter medication - ATC,Second new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_232a],
atc_233a,Drugs,Third new over-the-counter medication - ATC,Third new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_233a],
atc_234a,Drugs,Fourth new over-the-counter medication - ATC,Fourth new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_234a],
atc_235a,Drugs,Fifteenth new over-the-counter medication - ATC,Fifteenth new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1, cycle2",[atc_235a],
bbmed,,Beta blockers,Taking beta blockers,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]",
bpmdpbpd,Table 1,Diastolic blood pressure,Final average diastolic blood pressure (mmHg) - prevalence - (D),Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[bpmdpbpd],
bpmdpbps,Table 1,Systolic blood pressure,Final average systolic blood pressure (mmHg) - prevalence - (D),Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[bpmdpbps],
cardiov,Table 1,Cardiovascular disease,Cardiovascular disease - heart disease OR stroke,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[ccc_61, ccc_63, ccc_81]",
ccbmed,,Calcium channel blockers,Taking calcium channel blockers,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]",
ccc_32,Table 1,High blood pressure medication ,Took high blood pressure medication - past month,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[ccc_32],
ccc_51,Table 1,Diabetes,Has diabetes,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[ccc_51],
ccc_59,,Diabetes medication,Take pills to control blood sugar,Health status,Medication,Categorical,N/A,"cycle5, cycle6",[ccc_59],
ccc_61,Table 1,Heart disease ,Has heart disease,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[ccc_61],
ccc_63,Table 1,Heart attack,Ever had a heart attack,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[ccc_63],
ccc_81,Table 1,Stroke,Suffers from the effects of a stroke,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[ccc_81],
ckd,Table 1,Chronic kidney disease,Chronic kidney disease (categorized by GFR),Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[gfr],
clc_age,Table 1,Age,Age at clinic visit,Demographics,Age,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[clc_age],
clc_sex,Table 1,Sex,Sex,Demographics,Sex,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[clc_sex],
control14090,,Controlled hypertension 140/90,Controlled hypertension 140/90,Health status,Hypertension,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[bpmdpbps, bpmdpbpd, anymed]",
control14090_adj,,Controlled (adjusted) hypertension 140/90,Controlled (adjusted) hypertension 140/90,Health status,Hypertension,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[sbp_adj, dbp_adj, anymed]",
cycle,,CHMS cycle,CHMS cycle,N/A,N/A,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[data_name],
dbp_adj,,Diastolic blood pressure (adjusted),Adjusted diastolic blood pressure measurement,Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[bpmdpbpd],
dhhdhsz,Table 1,Household size,Household size - (D),Sociodemographics,Income,Continuous,persons,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[dhhdhsz],
dhh_ms,Table 1,Marital status,Marital status,Sociodemographics,Marital status,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[dhh_ms],
diabx,,Diabetes prevalance (inclusive),Diabetes prevalence based on more inclusive classification,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[diab_m, diab_drug, ccc_51]",
diab_drug,,Diabetes medication,Taking diabetes drugs,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[meucatc, npi_25b]",
diab_m,,Diabetes prevalence based on HbA1C,Diabetes prevalence based on HbA1C level,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_hba1],
diurmed,,Diuretics,Taking diuretics,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]",
edudr04,Table 1,Highest education level,"Highest level of education - respondent, 4 levels - (D)",Sociodemographics,Education,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[edudr04],
fambp,Table 1,Hypertension family history,Immediate family member ever had high blood pressure (3 categories),Health status,Family history,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4",[fmh_15],
famcvd60,Table 1,Premature CVD family history,Immediate family member ever had premature CVD (before age 60),Health status,Family history,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4","DerivedVar::[fmh_11, fmh_12, fmh_13, fmh_14]",
fmh_11,Table 1,Heart disease family history,Immediate family member diagnosed with heart disease,Health status,Family history,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4",[fmh_11],
fmh_12,Table 1,Youngest age of family heart disease,Youngest age - immediate family member diagnosed with heart disease,Health status,Family history,Continuous,years,"cycle1, cycle2, cycle3, cycle4",[fmh_12],
fmh_13,Table 1,Stroke family history,Immediate family member ever had stroke,Health status,Family history,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4",[fmh_13],
fmh_14,Table 1,Youngest age of family stroke,Youngest age - immediate family member had stroke,Health status,Family history,Continuous,years,"cycle1, cycle2, cycle3, cycle4",[fmh_14],
fmh_15,Table 1,Hypertension family history,Immediate family member ever had high blood pressure,Health status,Family history,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4",[fmh_15],
gendhdi,,Self-rated health,Self-rated health,Health status,General,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gendhdi],
gendmhi,,Self-rated mental health,Self-rated mental health,Health status,General,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gendmhi],
gen_040,,Work stress,"Self-perceived work stress	",Health status,General,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::gen_17, cycle2::gen_17, cycle3::gen_17, cycle4::gen_17, [gen_040]",
gen_045,,Sense of belonging,Sense of belonging to local community,Health status,General,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::gen_18, cycle2::gen_18, cycle3::gen_18, cycle4::gen_18, [gen_045]",
gen_055,Table 1,Family doctor,Family doctor,Health status,General,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::gen_20, cycle2::gen_20, cycle3::gen_20, cycle4::gen_20, [gen_055]",
gfr,Table 1,Estimated glomerular filtration rate,Estimated GFR - according to Finlay - where serum creatine is in mg/dL,Health status,Chronic disease,Continuous,mL/min,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[lab_bcre, pgdcgt, clc_sex, clc_age]",
gfvd17y,,Fruit consumption in year,Eats fruit - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2",[gfvd17y],
gfvd17ay,Table 1,Citrus consumption in year,Eats citrus fruit - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6",[gfvd17ay],
gfvd17by,Table 1,Strawberry consumption in summer,Eats strawberries - times per summer,Health behaviour,Diet,Continuous,times/summer,"cycle3, cycle4, cycle5, cycle6",[gfvd17by],
gfvd17cy,Table 1,Strawberry consumption outside summer,"Eats strawberries - times per year, excluding summer",Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6",[gfvd17cy],
gfvd17dy,Table 1,Other fruit consumption in year,Eats other types of fruit - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6",[gfvd17cy],
gfvd18y,Table 1,Tomato consumption in year,Eats tomatoes or tomato sauce times/year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gfvd18y],
gfvd19y,Table 1,Salad consumption in year,Eats lettuce or green leafy salad - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gfvd19y],
gfvd20y,Table 1,Spinach/mustards/cabbage eaten in year,"Eats spinach, mustard greens, cabbage - times per year - (D)",Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gfvd20y],
gfvd22y,Table 1,Potato consumption in year,Eats other potatoes - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gfvd22y],
gfvd23y,Table 1,Other vegetable consumption in year,Eats all other types of vegetables - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[gfvd23y],
highbp14090,Table 1,Hypertensive 140/190,Hypertensive 140/90 - using general population criteria,Health status,Hypertension,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[bpmdpbps, bpmdpbpd, anymed]",
highbp14090_adj,,Hypertensive (adjusted) 140/190,Hypertensive (adjusted) 140/90 - using general population criteria,Health status,Hypertension,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[sbp_adj, dbp_adj, anymed]",
hwm_11cm,,Height,Sitting height measured (centimetres),Health status,Height,Continuous,cm,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[hwm_11cm],
hwm_13kg,,Weight,Weight measured (kilograms),Health status,BMI,Continuous,kg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[hwm_13kg],
hwm_14cx,,Waist circumference,Waist circumference (centimetres) - NIH protocol,Health status,BMI,Continuous,cm,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::hwm_14cm, [hwm_14cx]",
hwmdbmi,Table 1,Body mass index,Body Mass Index - (D),Health status,BMI,Continuous,kg/m2,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[hwmdbmi],
img_03,,Immigration status,"Landed immigrant	",Sociodemographics,Immigration,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::sdcfimm, cycle2::sdcfimm, cycle3::imm_03, cycle4::imm_03, [img_03]",
imputed,,Household income imputation flag,Household income imputation flag (2 categories - yes/no),Sociodemographics,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[thifimp4],
incq,Table 1,Household income quntile,Adjusted household income quintile,Sociodemographics,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[adj_hh_inc],
incq1,Table 1,Lowest household income ,Lowest household income quintile (yes/no),Sociodemographics,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[incq],
insample,Table 1,Study inclusion status,Included in study sample,N/A,N/A,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[agegroup2079, highbp14090, prs_11]",
lab_alkp,,Alkaline phosphatase,Alkaline phosphatase (U/L),Health status,Chronic disease,Continuous,U/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_alkp],Indicator of alcohol consumption
lab_alt,,Alanine aminotransferase,Alanine aminotransferase (ALT) (U/L),Health status,Chronic disease,Continuous,U/L,"cycle1, cycle2, cycle4, cycle6",[lab_alt],Indicator of alcohol consumption
lab_bcre,Table 1,Blood creatine,"Blood creatinine (µmol/L)	",Health status,Chronic disease,Continuous,µmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_bcre],
lab_bpb,,Blood lead,"Blood lead (µmol/L)	",Health status,Chronic disease,Continuous,µmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_bpb],
lab_chol,Table 1,Total cholesterol,Total cholesterol (mmol/L),Health status,Chronic disease,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_chol],
lab_ggt,,Gamma-glutamyltransferase,Gamma-glutamyltransferase (GGT) (U/L),Health status,Chronic disease,Continuous,U/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_ggt],Indicator of alcohol consumption
lab_hba1,,Hemoglobin A1c level,Glycated hemoglobin A1c (HbA1c),Health status,Chronic disease,Continuous,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",[lab_hba1],
